summary_sentence,article_sentences,stance_preservation,kl_divergences,summary_stance,summary_stance_score,article_stances,article_stance_scores
"מחירי השכרת חניה בתל אביב נעים בין 350 שקל לחודש ל-1,250 שקל לחודש, תלוי במיקום","[('עלות חניה בתל אביב עומדת כיום בממוצע על כ-35,000 שקל למ""ר, הרבה יותר מהמחיר למ""ר בדירות במרבית הערים בארץ', 0.93267876), ('מקומות חניה למכירה נעים בין 140 ל-550 אלף שקל, ומחירי ההשכרה נעים בין 350 שקל לחודש (4,200 שקל לשנה) ועד 1,250 שקל בחודש (15,000 שקל לשנה), תלוי בשכונה', 0.9297305), ('כיצד זה ישפיע על מחירי החניות? כבר היום חניה בתל אביב היא מוצר נדיר גם למי שגר בעיר וגם למי שמבקר או עובד בה', 0.882897), (""ברמת אביב ג' מחירי החניות 250-400 אלף שקל והתמורה נעה בין 7% ל-10%"", 0.8814025), ('כאשר בוחנים את המחירים לפי שכונות, בלב העיר צפון (רחובות אחד העם / בלפור) מחיר חניה לרכישה הוא היקר ביותר ומגיע לכ-550 אלף שקל', 0.8771317)]",Preserved,"[5.04890522279311e-07, 1.5979367162799463e-08, 8.391335541091394e-06, 3.373347681190353e-07, 2.204166776209604e-06]",positive,0.999993085861206,"['positive', 'positive', 'positive', 'positive', 'positive']","[0.9999904632568359, 0.9999927282333374, 0.9999881982803345, 0.9999934434890747, 0.9999915361404419]"
"המצב מחייב פתרונות תחבורה יצירתיים, כגון שבילי אופניים, עבודה מהבית ועידוד תחבורה שיתופית","[('""כל אלה, לצד האיטיות וחוסר הוודאות בקשר למימוש תוכניות התחבורה הציבורית, מחייבים תכנון שכונות המאפשרות פתרונות תחבורה יצירתיים, נוחים ובטוחים להולכי רגל לצד שבילי אופניים, ופתרונות חדשניים של עבודה מהבית או בסמוך לבית, באופן שיצמצם את בעיות התחבורה""', 0.9121944), ('""זהו מצב בעייתי לתושבים במציאות שבה אין תחבורה ציבורית טובה, וכן ליזמים שעמלים על תוכניות כבר שנים, ולפתע צריכים לשנות אותן בהתאם לתקני החניה החדשים, ולבצע אומדנים כלכליים בהתאם', 0.88506246), ('""מדובר בהצעה שנגזרת מהמציאות הפקוקה שאנו חיים בה ושעוד עתידה להתפוקק עוד יותר עם הכניסה לביצוע קווי רכבת קלה, נתיבי תחבורה נוספים ושבילי אופניים, שיצמצמו את קיבולת הדרכים בעיר ובכניסות אליה"", אומרת להבי', 0.870564), ('""זאת, לצד הגידול בצפיפות העירונית, מחייבים אותנו לחשב מסלול מחדש ולקבל החלטות לא פשוטות בנוגע לחלוקת המרחב העירוני״', 0.8702035), ('חוסר ההלימה בין צמצום מקומות החניה באזורי התעסוקה ודרישה מוגברת למקומות חניה בערים שמחוץ לתל אביב מעוררת בעיה אמיתית למשתמשי הרכב הפרטי, שאין להם חניה בהישג יד במקומות עבודתם', 0.86648405)]",Preserved,"[1.3870385373593308e-07, 12.743148803710938, 7.316534042358398, 11.805547714233398, 12.336054801940918]",positive,0.9999939203262329,"['positive', 'neutral', 'neutral', 'neutral', 'neutral']","[0.9999926090240479, 0.9999947547912598, 0.9993314743041992, 0.9999892711639404, 0.9999940395355225]"
"המאמר מציג שלושה מתכונים לעוגות גבינה חגיגיות לכבוד חג השבועות: טירמיסו, עוגת גבינה קרה ועוגת פרזייה","[('חג שמח! לכבוד שבועות, חג הגבינות, אני מעביר לכם שלושה מתכונים לעוגות חגיגיות, יפות ובעלות מראה וטעם יוצאי דופן', 0.9156147), ('שבועות במדור האוכל: מיקי שמו עם חמישה ממאכלי החלב שכולנו הכי אוהבים טנא גבינות מהשוק: מאיה דרין עם שני מתכונים מנצחים לחג אם בא לכם להשקיע השנה: מתכון לבצק עלים ביתי ו-3 אפשרויות נהדרות למילוי טירמיסו בראייה מחודשת יש גרסאות רבות ומגוונות לטירמיסו - הקינוח האיטלקי המפורסם בעולם כולו', 0.90227175), ('טירמיסו איטלקי בניחוח קפה, פרזייה צרפתי עם תות שדה, ועוגה קרה בציפוי שוקולד', 0.88917273), ('לעוד כתבות אוכל, מתכונים והמלצות הכנסו למדור האוכל שלנו גבינה קרה ושוקולד חם עוגת גבינה לא אפויה בעלת שילוב מושלם של טעמי שוקולד', 0.88868976), ('מי הזיז את הגבינה שלי? עוגת הגבינה, המלכה הבלתי מעורערת של שבועות, בשלוש גרסאות שמוסיפות לה טעם וצבע', 0.86739147)]",Preserved,"[8.032051086425781, 1.0099392966367304e-06, 2.174689871026203e-05, 7.015475273132324, 10.095824241638184]",positive,0.9999765157699585,"['negative', 'positive', 'positive', 'negative', 'negative']","[0.9996745586395264, 0.9999812841415405, 0.9999940395355225, 0.9991017580032349, 0.9999576807022095]"
"המתכון הראשון הוא טירמיסו איטלקי בניחוח קפה, המורכב מבצק פריך, קרם קפה ושוקולד חלב וקרם גבינה","[('טירמיסו איטלקי בניחוח קפה, פרזייה צרפתי עם תות שדה, ועוגה קרה בציפוי שוקולד', 0.89779055), ('לציפוי: מרתיחים שמנת מתוקה, מערבבים עם הקפה הנמס ולבסוף עם השוקולד הלבן עד שמתקבלת תערובת חלקה', 0.87519294), ('שבועות במדור האוכל: מיקי שמו עם חמישה ממאכלי החלב שכולנו הכי אוהבים טנא גבינות מהשוק: מאיה דרין עם שני מתכונים מנצחים לחג אם בא לכם להשקיע השנה: מתכון לבצק עלים ביתי ו-3 אפשרויות נהדרות למילוי טירמיסו בראייה מחודשת יש גרסאות רבות ומגוונות לטירמיסו - הקינוח האיטלקי המפורסם בעולם כולו', 0.87095726), ('50 גרם אבקת סוכר מרנג איטלקי:', 0.8639619), ('מניחים עיגולים של קרם גבינה על קרם הקפה במרווחים של 2-3 ס""מ זה מזה ומעטרים בשברי שוקולד בהיר ביניהם', 0.86279476)]",Preserved,"[1.522585080238059e-08, 3.5626771932584234e-07, 6.953385309316218e-06, 6.117375050962437e-07, 8.89328930497868e-07]",positive,0.9999929666519165,"['positive', 'positive', 'positive', 'positive', 'positive']","[0.9999940395355225, 0.9999927282333374, 0.9999812841415405, 0.9999934434890747, 0.9999892711639404]"
"המתכון השני הוא לעוגת גבינה קרה עם שילוב של טעמי שוקולד, המורכבת מתחתית אפויה, רוטב שוקולד חלב וקציפת גבינה","[('לעוד כתבות אוכל, מתכונים והמלצות הכנסו למדור האוכל שלנו גבינה קרה ושוקולד חם עוגת גבינה לא אפויה בעלת שילוב מושלם של טעמי שוקולד', 0.89710355), ('מניחים עיגולים של קרם גבינה על קרם הקפה במרווחים של 2-3 ס""מ זה מזה ומעטרים בשברי שוקולד בהיר ביניהם', 0.87804216), ('2 כפות מים קרים לקרם קפה ושוקולד חלב:', 0.8748389), ('מרכיבים: מניחים בתחתית התבנית שכבה של העוגה ומרטיבים בשליש מרוטב השוקולד', 0.8684189), ('100 גרם שוקולד חלב קצוץ לקציפת גבינה:', 0.8663986)]",Preserved,"[7.015820503234863, 1.8681198525882792e-06, 5.384754331316799e-08, 1.9093863556918222e-06, 7.045969141472597e-07]",positive,0.9999946355819702,"['negative', 'positive', 'positive', 'positive', 'positive']","[0.9991017580032349, 0.9999892711639404, 0.9999946355819702, 0.99998939037323, 0.9999923706054688]"
"המתכון השלישי הוא לעוגת פרזייה - טורט מסקרפונה ותות שדה, המורכבת משכבות של ביסקוויט שקדים, קציפת מסקרפונה ותות שדה, ומעוטרת במרנג","[(""עוד במדור האוכל: סקירת יינות של יקב ויתקין, מחלוצי הזרם הים־תיכוני בייננות המקומית מיקי שמו עם 3 מאפי גבינה מלוחים שמתאימים לכל אירוע הילה אלפרט בדקה: כך מגדלים (ומבשלים!) עופות אורגניים המלצה על ג'ויה בסינימטק: איטלקית עם טוויסט פרזייה - טורט מסקרפונה ותות שדה העוגה מורכבת משתי שכבות של ביסקוויט רך של שקדים, קציפת מסקרפונה ותות שדה, ומעוטרת במרנג שמושחם מעט עם ברנר"", 0.8839684), ('טירמיסו איטלקי בניחוח קפה, פרזייה צרפתי עם תות שדה, ועוגה קרה בציפוי שוקולד', 0.83275783), ('סלסילת תותי שדה שטופים ויבשים (250 גרם) מחממים תנור ל־160 מעלות', 0.820436), ('מייד בסיום האפייה, כשהבצק עדיין חם, חותכים בעזרת סכין חדה למלבן בגודל 27X9 ס""מ', 0.8143674), ('מנפים את הקמח ואבקת האפייה לקערה נפרדת ומקפלים את תערובת הקמח לתוך הקצף בעזרת מרית, מוסיפים את השמן ומערבבים בעדינות', 0.8110645)]",Preserved,"[2.5639269551902544e-06, 7.290436769835651e-07, 6.69152541377116e-06, 6.3982815845520236e-06, 4.364864253147971e-06]",positive,0.999993085861206,"['positive', 'positive', 'positive', 'positive', 'positive']","[0.9999929666519165, 0.9999940395355225, 0.9999872446060181, 0.9999868869781494, 0.9999860525131226]"
המאמר מלווה בצילומים הממחישים את שלבי ההכנה של כל עוגה,"[('זוהי עוגה שרצוי מאוד להכין יום לפני ההגשה, כדי שתתייצב כמו שצריך', 0.91110367), ('שופכים את הציפוי על העוגה ופורסים (אפשר לצפות כל פרוסה בנפרד, בזמן ההגשה', 0.90888816), ('מעבירים לתבנית מרופדת בנייר אפייה ומשומנת בשוליים', 0.90366054), ('מרכיבים: מניחים בתחתית התבנית שכבה של העוגה ומרטיבים בשליש מרוטב השוקולד', 0.8973498), ('מקציפים את כל חומרי הקרם במהירות בינונית־גבוהה עד לקבלת קציפה יציבה', 0.8938724)]",Preserved,"[6.143800419522449e-07, 2.3949787646415643e-06, 2.048180249403231e-06, 3.483918590063695e-06, 1.2345812137937173e-05]",positive,0.9999814033508301,"['positive', 'positive', 'positive', 'positive', 'positive']","[0.9999761581420898, 0.9999862909317017, 0.9999864101409912, 0.99998939037323, 0.9999512434005737]"
"לאחר מבצע ""שומר החומות"", ישראל מעוניינת ששיקום עזה יוביל לשינוי אמיתי לטובת האזרחים ולא לטובת חמאס","[('בחזרה לעמדת המתנה אחרי סיום ""שומר החומות"" והצהרות הניצחון של כל צד, לישראל יש אינטרס שהשיקום בעזה יוביל לשינוי אמיתי, כלכלי, לטובת האזרחים ולא לטובת הג\'יהאד', 0.9404739), ('אחד היעדים המוצהרים של מבצע ""שומר החומות"" היה לנתק את הקשר הזה בין עזה לאל־אקצא; מנהיגי חמאס הבהירו כי היעד הזה לא הושג', 0.88704896), (""לישראל יש אינטרס לשנות את המציאות הזאת, אבל רק בתנאי שהשיקום יהיה אמיתי, כלכלי, לטובת האזרחים ולא לטובת הג'יהאד"", 0.88597196), ('בישראל שואפים לכרוך כל התקדמות גם במניעת התעצמות מחודשת של חמאס', 0.88436484), ('ישראל גם נשבעה כי הפעם לא תאפשר את שיקום הרצועה ללא פתרון לסוגיית השבויים והנעדרים', 0.877977)]",Preserved,"[7.409921636281069e-07, 7.912177562713623, 1.9811932361335494e-07, 4.366088433016557e-07, 1.2474129107431509e-07]",positive,0.9999929666519165,"['positive', 'neutral', 'positive', 'positive', 'positive']","[0.9999905824661255, 0.9996321201324463, 0.9999911785125732, 0.9999934434890747, 0.9999927282333374]"
"ישראל איימה על חמאס בתגובה קשה לכל הפרה של הרגיעה, וחמאס בתגובה הדגיש את מחויבותו לאל-אקצא","[('ישראל התחילה בהרעשה רגע אחרי הפסקת האש, כשהעבירה מסר מאיים כפול לחמאס: גם שראשיו עדיין על הכוונת ויישקל חיסולם בהמשך, וגם שלא תבליג עוד על הפרות ""קטנות"" של הרגיעה', 0.89485604), ('ואם תגיב, כיצד, ובהמשך לכך, כיצד תגיב ישראל, וכיצד יגיב חמאס על התגובה, וחוזר חלילה', 0.86883557), ('ישראל אמנם לא קידמה רגיעה ארוכת טווח עם חמאס, אבל בה בעת אפשרה לו להתעצם ותיווכה בהעברת מזוודות הכסף מקטאר, שלכל דבר ועניין היו אתנן בתמורה לשקט', 0.868268), ('בשורה בהיבט שהוא מוכן לקשור בין שיקום הרצועה לסוגית השבויים והנעדרים; אכזבה בכך שלא ייסוג מדרישתו לשחרור אסירים (דרישה שישראל מתנגדת לה נחרצות, בוודאי בהיקף שחמאס דורש)', 0.8661533), ('""תפסיקו לשחק באש"", הזהיר את ישראל, במה שהיה ניסיון לקבע את הנרטיב שלפיו חמאס הוא מגן העיר, ועתידו כרוך בעתידה', 0.8650955)]",Preserved,"[0.007850182242691517, 4.6079094317974523e-07, 1.9192344552720897e-05, 11.32752513885498, 0.1508529782295227]",positive,0.999993085861206,"['positive', 'positive', 'positive', 'neutral', 'positive']","[0.9921454787254333, 0.9999943971633911, 0.9999645948410034, 0.9999871253967285, 0.8599262237548828]"
"יחיא סינוואר, מנהיג חמאס, ניסה להציג חזות בלתי-מורעשת, אך התנהגותו העידה על חשש מחיסול","[('עד ליום רביעי הופיע יחיא סינוואר שלוש פעמים ולא הפסיק לדבר', 0.85468996), ('חמאס יחכה לכסף או למלט או לשניהם, וכשלא יקבל - יתיר את הרסן', 0.8480127), ('גם אחרי מבצע צוק איתן קיבל חמאס הבטחות למיליארדי דולרים, אבל המציאות הותירה אותו פושט־יד', 0.84734225), ('אחד היעדים המוצהרים של מבצע ""שומר החומות"" היה לנתק את הקשר הזה בין עזה לאל־אקצא; מנהיגי חמאס הבהירו כי היעד הזה לא הושג', 0.8449751), ('בהיבט הזה, האיום הישראלי עבד; סינוואר מתנהג כמבוקש', 0.8442838)]",Preserved,"[10.158709526062012, 6.481550216674805, 1.642144525249023e-06, 0.0003036186099052429, 0.8236519694328308]",neutral,0.999983549118042,"['positive', 'positive', 'neutral', 'neutral', 'negative']","[0.9999140501022339, 0.9984476566314697, 0.9999897480010986, 0.9996321201324463, 0.5216889977455139]"
"סינוואר קשר בין עתיד עזה לירושלים, דבר המעיד על כוונת חמאס להמשיך ולהתערב בענייני העיר","[('""תפסיקו לשחק באש"", הזהיר את ישראל, במה שהיה ניסיון לקבע את הנרטיב שלפיו חמאס הוא מגן העיר, ועתידו כרוך בעתידה', 0.853027), ('בהיבט הזה, האיום הישראלי עבד; סינוואר מתנהג כמבוקש', 0.8530179), ('חמאס כבר ימצא את התירוץ - בעזה, בירושלים או במקום אחר', 0.84987915), ('אחד היעדים המוצהרים של מבצע ""שומר החומות"" היה לנתק את הקשר הזה בין עזה לאל־אקצא; מנהיגי חמאס הבהירו כי היעד הזה לא הושג', 0.84817207), ('חמאס יחכה לכסף או למלט או לשניהם, וכשלא יקבל - יתיר את הרסן', 0.8456385)]",Preserved,"[0.15074372291564941, 3.2297089099884033, 0.2281012088060379, 7.911953449249268, 0.0014650486409664154]",positive,0.9999812841415405,"['positive', 'negative', 'positive', 'neutral', 'positive']","[0.8599262237548828, 0.5216889977455139, 0.7959116697311401, 0.9996321201324463, 0.9984476566314697]"
"ישראל הצהירה כי לא תאפשר שיקום עזה ללא פתרון לסוגיית השבויים והנעדרים, אך נותר לראות אם תצליח לעמוד בהבטחתה","[('ישראל גם נשבעה כי הפעם לא תאפשר את שיקום הרצועה ללא פתרון לסוגיית השבויים והנעדרים', 0.9245886), ('בשורה בהיבט שהוא מוכן לקשור בין שיקום הרצועה לסוגית השבויים והנעדרים; אכזבה בכך שלא ייסוג מדרישתו לשחרור אסירים (דרישה שישראל מתנגדת לה נחרצות, בוודאי בהיקף שחמאס דורש)', 0.8949215), ('בחזרה לעמדת המתנה אחרי סיום ""שומר החומות"" והצהרות הניצחון של כל צד, לישראל יש אינטרס שהשיקום בעזה יוביל לשינוי אמיתי, כלכלי, לטובת האזרחים ולא לטובת הג\'יהאד', 0.87499034), ('מרגע שארה""ב, מצרים, האו""ם וקטאר מעורבים בסוגיה, יקשה על ישראל להסתער על עזה מחדש', 0.8642942), ('שיתוף הפעולה המצוין בין צה""ל לשב""כ במערכה האחרונה בעזה לימד שמדובר במכפלת כוח משמעותית; מול האתגרים שישראל ניצבת בפניהם - ואיראן בראשם - לא יהיה לישראל לוקסוס למלחמות יהודים', 0.8602952)]",Preserved,"[5.886477083549835e-07, 11.327548027038574, 1.7117672541644424e-06, 6.723400474584196e-06, 0.00015726710262242705]",positive,0.9999943971633911,"['positive', 'neutral', 'positive', 'positive', 'positive']","[0.9999927282333374, 0.9999871253967285, 0.9999905824661255, 0.9999822378158569, 0.9998194575309753]"
"סינוואר האשים את ישראל באי פתרון סוגיית השבויים והנעדרים, אך סירב להתגמש בדרישתו לשחרור אסירים בתמורה","[('בשורה בהיבט שהוא מוכן לקשור בין שיקום הרצועה לסוגית השבויים והנעדרים; אכזבה בכך שלא ייסוג מדרישתו לשחרור אסירים (דרישה שישראל מתנגדת לה נחרצות, בוודאי בהיקף שחמאס דורש)', 0.8836086), ('ישראל גם נשבעה כי הפעם לא תאפשר את שיקום הרצועה ללא פתרון לסוגיית השבויים והנעדרים', 0.8821058), ('בהיבט הזה, האיום הישראלי עבד; סינוואר מתנהג כמבוקש', 0.8533762), ('קיפאון יביא לסבב נוסף במאמץ להרחיק ממנו את תפוח האדמה הלוהט הזה, תלה סינוואר בישראל את האשמה בכך שעניינם של חללי צה""ל הדר גולדין ואורון שאול, ושל האזרחים אברה מנגיסטו והישאם א־סייד, לא נפתר עד כה', 0.8474829), ('אבל סינוואר גם העביר בדבריו כמה מסרים שאמורים לכל הפחות לעורר דאגה בישראל', 0.84508574)]",Preserved,"[11.325230598449707, 0.0003600599302444607, 3.22849702835083, 12.029695510864258, 4.722730955109e-05]",positive,0.9998829364776611,"['neutral', 'positive', 'negative', 'neutral', 'positive']","[0.9999871253967285, 0.9999927282333374, 0.5216889977455139, 0.9999923706054688, 0.9999573230743408]"
קיים חשש כי עמדותיהם הנוקשות של ישראל וחמאס בסוגיית השבויים יובילו לחידוש העימותים,"[('ישראל גם נשבעה כי הפעם לא תאפשר את שיקום הרצועה ללא פתרון לסוגיית השבויים והנעדרים', 0.90071434), ('בשורה בהיבט שהוא מוכן לקשור בין שיקום הרצועה לסוגית השבויים והנעדרים; אכזבה בכך שלא ייסוג מדרישתו לשחרור אסירים (דרישה שישראל מתנגדת לה נחרצות, בוודאי בהיקף שחמאס דורש)', 0.8931995), ('מרגע שארה""ב, מצרים, האו""ם וקטאר מעורבים בסוגיה, יקשה על ישראל להסתער על עזה מחדש', 0.8844062), ('בישראל שואפים לכרוך כל התקדמות גם במניעת התעצמות מחודשת של חמאס', 0.8759279), ('בחזרה לעמדת המתנה אחרי סיום ""שומר החומות"" והצהרות הניצחון של כל צד, לישראל יש אינטרס שהשיקום בעזה יוביל לשינוי אמיתי, כלכלי, לטובת האזרחים ולא לטובת הג\'יהאד', 0.8648685)]",Preserved,"[13.44114875793457, 1.1337973774061538e-05, 11.34670639038086, 12.706989288330078, 13.504043579101562]",neutral,0.999967098236084,"['positive', 'neutral', 'positive', 'positive', 'positive']","[0.9999927282333374, 0.9999871253967285, 0.9999822378158569, 0.9999934434890747, 0.9999905824661255]"
"ישראל שואפת ששיקום עזה ימנע את התעצמות חמאס, וזאת על ידי פיקוח הדוק על העברת הכספים והסחורות","[('בחזרה לעמדת המתנה אחרי סיום ""שומר החומות"" והצהרות הניצחון של כל צד, לישראל יש אינטרס שהשיקום בעזה יוביל לשינוי אמיתי, כלכלי, לטובת האזרחים ולא לטובת הג\'יהאד', 0.8932469), ('בישראל שואפים לכרוך כל התקדמות גם במניעת התעצמות מחודשת של חמאס', 0.8830762), ('בשורה בהיבט שהוא מוכן לקשור בין שיקום הרצועה לסוגית השבויים והנעדרים; אכזבה בכך שלא ייסוג מדרישתו לשחרור אסירים (דרישה שישראל מתנגדת לה נחרצות, בוודאי בהיקף שחמאס דורש)', 0.87730426), ('מרגע שארה""ב, מצרים, האו""ם וקטאר מעורבים בסוגיה, יקשה על ישראל להסתער על עזה מחדש', 0.8693138), ('ישראל אמנם לא קידמה רגיעה ארוכת טווח עם חמאס, אבל בה בעת אפשרה לו להתעצם ותיווכה בהעברת מזוודות הכסף מקטאר, שלכל דבר ועניין היו אתנן בתמורה לשקט', 0.8667072)]",Preserved,"[5.106485332362354e-07, 7.693565748922992e-07, 11.327530860900879, 6.407602995750494e-06, 2.0609350031008944e-05]",positive,0.9999923706054688,"['positive', 'positive', 'neutral', 'positive', 'positive']","[0.9999905824661255, 0.9999934434890747, 0.9999871253967285, 0.9999822378158569, 0.9999645948410034]"
"קטאר התחייבה להעביר חצי מיליארד דולר לשיקום עזה, אך לא ברור מתי ואיך יועבר הכסף","[('חלקם חשו כי מדובר בחילול הקודש קטאר הבהירה כי תקצה חצי מיליארד דולר לשיקום הרצועה', 0.89882547), ('גם אחרי מבצע צוק איתן קיבל חמאס הבטחות למיליארדי דולרים, אבל המציאות הותירה אותו פושט־יד', 0.8744868), ('לא ברור מתי הכסף הזה יגיע, איך ועל פני כמה זמן', 0.8722836), ('מרגע שארה""ב, מצרים, האו""ם וקטאר מעורבים בסוגיה, יקשה על ישראל להסתער על עזה מחדש', 0.8607447), ('ישראל אמנם לא קידמה רגיעה ארוכת טווח עם חמאס, אבל בה בעת אפשרה לו להתעצם ותיווכה בהעברת מזוודות הכסף מקטאר, שלכל דבר ועניין היו אתנן בתמורה לשקט', 0.859371)]",Preserved,"[12.029955863952637, 11.613216400146484, 0.02773894928395748, 2.57386636803858e-06, 6.0907132137799636e-06]",positive,0.9999817609786987,"['neutral', 'neutral', 'positive', 'positive', 'positive']","[0.9999923706054688, 0.9999897480010986, 0.9725037217140198, 0.9999822378158569, 0.9999645948410034]"
"דדי ברנע, ראש המוסד הנכנס, יחזיר את הארגון לצללים לאחר תקופת כהונה מתוקשרת של קודמו, יוסי כהן","[('המשך ההרתעה ובריתות חשאיות ביום שלישי הקרוב ייכנס דדי ברנע ללשכת ראש המוסד, והפעם כמנכ""ל, כפי שעובדי הארגון נוהגים לכנות את הבוס שלהם', 0.9135655), ('ברנע טיפוס אחר מכהן, והמוסד תחתיו יחזור לצללים', 0.8907751), ('ברנע הוא טיפוס אחר לגמרי, והמוסד תחתיו יחזור לצללים', 0.88384116), ('גם מבקריו של כהן מודים כי בחמש וחצי שנותיו התעצמה ההרתעה של המוסד', 0.859746), ('ובשלישי, הוא יצטרך למצוא דרכים לשמור את הטובים במוסד - במבצעים ובמודיעין, ובעיקר בטכנולוגיה', 0.8428534)]",Preserved,"[3.895420377375558e-07, 12.760392189025879, 0.024649091064929962, 11.601302146911621, 2.5978670237236656e-06]",positive,0.9999861717224121,"['positive', 'neutral', 'positive', 'negative', 'positive']","[0.9999889135360718, 0.9999842643737793, 0.975590169429779, 0.9999873638153076, 0.9999923706054688]"
"ברנע יתמודד עם אתגרים מבצעיים, מדיניים ופנימיים, ובהם שימור פעילות המוסד באזור משתנה וטיפוח בריתות","[('אבל מבחנו האמיתי של ברנע יהיה בתחומים אחרים: המבצעי, המדיני והפנימי', 0.8848641), ('בראשון, יהיה עליו לשמר פעלתנות באזור משתנה, ובהרבה מובנים סבוך יותר (עם הסכם גרעין שעשוי להגביל את ישראל, אבל עם איראן שאפתנית יותר שתייצר אתגרים לרוב, ולא רק היא)', 0.8781165), ('ברנע הוא טיפוס אחר לגמרי, והמוסד תחתיו יחזור לצללים', 0.864892), ('בשני, הוא יידרש להמשיך לטפח את הבריתות האינטימיות, החשאיות, של ישראל באזור, ועם שותפותיה במערב', 0.8623841), ('ברנע יידרש להמשיך את הבנייה הזאת', 0.85793185)]",Preserved,"[1.176438217953546e-06, 4.4422358769224957e-07, 0.024661382660269737, 4.075823198945727e-07, 2.163813405786641e-06]",positive,0.999990701675415,"['positive', 'positive', 'positive', 'positive', 'positive']","[0.9999926090240479, 0.9999903440475464, 0.975590169429779, 0.9999926090240479, 0.9999905824661255]"
"כהן, קודמו של ברנע, זכה להערכה על חיזוק ההרתעה של המוסד, אך חשוב לזכור כי הצלחות אלו הן תוצאה של עבודה קבוצתית ארוכת טווח","[('גם מבקריו של כהן מודים כי בחמש וחצי שנותיו התעצמה ההרתעה של המוסד', 0.86416566), ('המשך ההרתעה ובריתות חשאיות ביום שלישי הקרוב ייכנס דדי ברנע ללשכת ראש המוסד, והפעם כמנכ""ל, כפי שעובדי הארגון נוהגים לכנות את הבוס שלהם', 0.85567886), ('לטוב ולרע, כהן הוא איש של אנשים; הוא אהב לארח אותם, לשחק בהם, לבנות דרכם את הארגון ואת עצמו', 0.83364046), ('ברנע הוא טיפוס אחר לגמרי, והמוסד תחתיו יחזור לצללים', 0.823955), ('ברנע טיפוס אחר מכהן, והמוסד תחתיו יחזור לצללים', 0.822469)]",Preserved,"[11.600908279418945, 1.3016733646509238e-05, 2.1291180019034073e-06, 0.024612123146653175, 12.760176658630371]",positive,0.9999686479568481,"['negative', 'positive', 'positive', 'positive', 'neutral']","[0.9999873638153076, 0.9999889135360718, 0.9999773502349854, 0.975590169429779, 0.9999842643737793]"
ברנע יצטרך להמשיך את פעילות המוסד ולשתף פעולה עם זרועות הביטחון והמודיעין האחרות,"[('ברנע יידרש להמשיך את הבנייה הזאת', 0.92082024), ('ברנע הוא טיפוס אחר לגמרי, והמוסד תחתיו יחזור לצללים', 0.91504776), ('ברנע טיפוס אחר מכהן, והמוסד תחתיו יחזור לצללים', 0.9124107), ('אבל מבחנו האמיתי של ברנע יהיה בתחומים אחרים: המבצעי, המדיני והפנימי', 0.8984449), ('המשך ההרתעה ובריתות חשאיות ביום שלישי הקרוב ייכנס דדי ברנע ללשכת ראש המוסד, והפעם כמנכ""ל, כפי שעובדי הארגון נוהגים לכנות את הבוס שלהם', 0.892629)]",Preserved,"[6.184654921526089e-07, 0.02466237172484398, 12.760461807250977, -2.1827872842550278e-09, 2.2543963495991193e-06]",positive,0.9999923706054688,"['positive', 'positive', 'neutral', 'positive', 'positive']","[0.9999905824661255, 0.975590169429779, 0.9999842643737793, 0.9999926090240479, 0.9999889135360718]"
